[15:35:06] 开始下载 87 首 | 并发 3
[15:35:07] OK   [勾指起誓] song_01.m4a (3.55 MB)
[15:35:57] OK   [私のSymphony] song_51.m4a (2.81 MB)
[15:35:58] OK   [思华年] song_52.m4a (4.85 MB)
[15:35:58] OK   [苏州河] song_53.m4a (5.04 MB)
[15:35:59] OK   [碎梦] song_54.m4a (4.38 MB)
[15:36:00] OK   [所以我伸出了手] song_55.m4a (3.84 MB)
[15:36:01] OK   [太聪明] song_56.m4a (5.14 MB)
[15:36:02] OK   [棠梨煎雪] song_57.m4a (5.97 MB)
[15:36:02] OK   [跳楼机] song_58.m4a (3.03 MB)
[15:36:03] OK   [外婆的澎湖湾] song_59.m4a (3.25 MB)
[15:36:04] OK   [外婆桥] song_60.m4a (4.55 MB)
[15:36:05] OK   [我的悲伤是水做的] song_62.m4a (4.77 MB)
[15:36:06] OK   [未来は風のように] song_61.m4a (5.55 MB)
[15:36:06] OK   [我多想说再见啊] song_63.m4a (5.59 MB)
[15:36:08] OK   [小幸运] song_65.m4a (5.61 MB)
[15:36:08] OK   [心愿便利贴] song_66.m4a (5.49 MB)
[15:36:10] OK   [夜蝶] song_67.m4a (2.75 MB)
[15:36:11] OK   [一半一半] song_68.m4a (5.85 MB)
[15:36:12] OK   [踊り子] song_69.m4a (4.76 MB)
[15:36:12] OK   [下等马] song_64.m4a (4.06 MB)
[15:36:13] OK   [迂回步] song_70.m4a (4.86 MB)
[15:36:13] OK   [雨爱] song_71.m4a (2.88 MB)
[15:36:14] OK   [月が綺麗ね] song_72.m4a (3.39 MB)
[15:36:15] OK   [纸星瓶] song_73.m4a (2.57 MB)
[15:36:16] OK   [CHASE!] song_74.m4a (3.06 MB)
[15:36:16] OK   [flos] song_75.m4a (3.23 MB)
[15:36:18] OK   [MORE JUMP MORE!] song_78.m4a (2.26 MB)
[15:36:19] OK   [I LOVE U] song_77.m4a (3.70 MB)
[15:36:19] OK   [Fly me to the star] song_76.m4a (2.25 MB)
[15:36:20] OK   [SOS] song_79.m4a (3.21 MB)
[15:36:21] OK   [START:DASH!!!] song_81.m4a (2.97 MB)
[15:36:22] OK   [Starlight Prologue] song_80.m4a (2.94 MB)
[15:36:22] OK   [アイドル] song_82.m4a (3.06 MB)
[15:36:24] OK   [アスノヨゾラ哨戒班] song_83.m4a (5.18 MB)
[15:36:24] OK   [アヤノの幸福理論] song_84.m4a (7.28 MB)
[15:36:25] OK   [おともだち] song_85.m4a (2.09 MB)
[15:36:25] OK   [シリウスの心臓] song_86.m4a (5.02 MB)
[15:36:26] OK   [プロポーズ] song_87.m4a (5.32 MB)
[15:36:26] 下载完成: 成功 87 | 跳过 0 | 失败 0
